,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_MYH9,-0.31472889789597364,0.0647383150249267,1.1549409706182743
mrna_ENTPD8,-0.9071090273324569,0.14738965992467726,-0.8854938708077136
mrna_SLC2A13,3.6775247488659213,0.6998982043320001,-0.759800800830343
mrna_MSANTD1,0.2618825858630732,-0.4292299515784523,-0.4865399131451017
mrna_FNDC11,1.763411454030099,3.431273999250696,-0.8476097035302969
mrna_CNPY2,-0.8812155402868473,-1.4543879429892201,-0.39865179648461585
mrna_TRPC4,-0.5286997839827723,0.37879274165408905,-0.03966096099771894
mrna_SEMA5A,0.14040642929549427,-0.5292892801531117,2.653597684350706
mrna_C11orf71,0.5666852704620938,2.4178354903651873,-0.7199022941843405
mrna_SRPRA,0.040787338448465375,-1.161884975261286,0.13630812528590774
mrna_MGEA5,0.525711549491501,-0.31227015097356003,0.31226006721932087
mrna_LSM10,-0.034475725188543256,-0.26062476400123513,-1.9878677182207038
mrna_MYOF,0.39748574790036545,-0.9155738431710804,0.5124058539824137
mrna_SLC16A1,0.555715528050644,-0.7873130782209894,-0.5949839614458907
mrna_COX10,-0.026362940288423526,0.051540911606439664,1.2292370692024728
mrna_DSG3,-0.8448128379614592,-0.7226412239772183,-0.8036050545342073
mrna_GJA5,-0.7151807893701093,-0.6326255492007061,-0.9223347476300858
mrna_LIMD1,1.3440908429685463,-1.000442954288002,0.2950534192205884
mrna_PTGES3L,-0.30057344454797874,-0.8495696791887631,1.5685543158529545
mrna_NTRK3,0.45036992704414924,-0.5852141685712646,4.96300179780426
mrna_KIFC2,1.1727743197494338,1.8922799451555217,-1.6042744228222983
mrna_MICAL2,1.5012999233895172,-0.2755341600523108,-2.297861371762508
mrna_KCNG2,1.6178424508379181,-0.5486982379537347,-0.5635800217258506
mrna_KIF4A,0.7431895428775758,0.800009622339817,-1.4956368376963065
mrna_NOL6,-0.14886158523579912,-1.5604352659348073,0.4732023686912246
mrna_ERCC6,1.3632344591061956,-0.17659507369491317,0.4539819001790582
mrna_LINC00857,-0.3988919514687935,-0.4245519987665556,0.32483019102011296
mrna_GAS2L2,-0.3532885142809947,2.2503298273488177,-0.7517444443218336
mrna_MLF1,-0.19212785954315115,0.3917841510154301,-0.7129956438423916
mrna_OTUD6B,0.9993440923496608,-1.1121519673735754,-0.0504993847666484
mrna_C2CD5,1.9055730385924563,0.053463810274038945,-0.20882921138962093
mrna_SNAPC4,0.06371615192849593,1.650263988777233,2.1116905300787265
mrna_ERCC6L2,0.22905051780213373,-0.4023123447659191,2.173808216568297
mrna_CDKL5,-0.10800942103936317,0.8668577819257163,1.276399971121731
mrna_AP5M1,0.09741682509471489,1.3293594208380277,0.9328583312872765
mrna_AKNA,-0.6247251436524006,0.26873832202684905,-1.373365267886769
mrna_C15orf59,2.7835347062891755,-0.673620860594526,-0.646192266990913
mrna_PIK3CD.AS2,-0.9352835401772475,-1.1054575537676832,2.0508508089076387
mrna_EXOSC10,0.30930517011506725,-1.2598560449744767,1.999449332352829
mrna_PIK3CA,0.7807988101488281,-0.21515712238862278,-0.03583381436124146
mrna_ZFP69,1.3786493085157856,-0.07779093885914733,-0.8665146276216646
mrna_KCTD15,1.1354436153821563,0.7034949608621739,0.24635515732657512
mrna_TAS2R4,2.059986215001508,1.766198590385042,2.3525191265541037
mrna_ALOX12.AS1,1.0591952588082498,-0.14422231337296817,1.5439250294165794
mrna_TRIM65,1.464361515920763,0.8209590750937963,-0.45139447272095873
mrna_ATP1A4,0.4008720981243185,-0.7596486805555321,-0.7845000829842338
mrna_PVR,1.0358153473590548,-0.8803851650515275,-0.08896731454112669
mrna_KBTBD3,0.085142048359541,0.3330343301778348,-0.23484086760555506
mrna_ATP1A2,-0.45772053419423137,-0.5237966828260056,0.6553464776208962
mrna_MUC6,-0.6691900074529396,-0.687140601692717,-0.6246225051665496
mrna_RIPK4,0.5527073088428341,1.5013657918401577,1.9779652144743376
mrna_SLC45A1,3.6993870398018567,-0.29520302924930025,-0.4336813549259442
mrna_DIMT1,2.2855968464002236,-0.12368556575162708,1.817410387711183
mrna_MB21D2,-1.816889466379452,-0.9717356569300268,0.4561844587334618
mrna_PEX10,1.2974768445308202,-0.31125509833980125,0.05456560960860995
mrna_ENTPD3.AS1,-0.0634497899948132,1.292200079510865,-1.173538838449813
mrna_PRMT5,-0.2718012799841594,0.11144021211937208,0.8616026317146055
mrna_GCNT2,-0.3799818478339872,-1.00151483178985,0.9491311992557878
mrna_RS1,-0.06297647840285145,-0.03557971015820474,0.6480963658438106
mrna_GPR143,0.5266207292846674,-0.0017913005308254446,-0.35316526560135414
mrna_LINC01806,1.0152800079995017,-1.0773785355679986,0.307416089526469
mrna_NRBP1,-0.8650614883030779,2.4558725407086905,-0.24411385160178323
mrna_SLC6A12,3.3166746984231246,0.19995069720725256,-0.21189301486607737
mrna_TOGARAM1,0.14573617966874525,0.2337074580898241,0.9096966979199961
mrna_FAXC,1.142764640373635,0.7708640520475799,0.645266441437667
mrna_OAZ1,-0.6811942155014503,1.2590233714848766,-2.309349940576135
mrna_ZNF35,-0.06569301475645113,-0.860579535742497,0.27414881047514794
mrna_LOC102724323,-0.7873583420862494,0.24954128997568883,-1.0253656298279692
mrna_IL5RA,-0.23144770290989045,-0.26148782576192964,-0.706829168870079
mrna_KCNIP3,-0.1324408672311659,0.27173341661448247,2.604878779129705
mrna_LOC102546294,-0.7953657274171079,1.2530054834091227,1.4717602412898547
